Subscription_Status,Age,Monthly_Fee,Avg_Class_Attendance,Check_Ins_Per_Month,Years_As_Member,Cardio_Machine_Minutes,Weight_Room_Minutes,Personal_Trainer_Sessions,Complaints_Filed,Friend_Referrals,Gender,Home_Branch,Payment_Method,Join_Date,Promo_Code_Used,Locker_Rented,Favorite_Workout_Time,Member_ID,Notes_Field
Renewed,48,49.99,2,7,0.2,49,41,1,0,0,femal,Downtown,Direct Debit,2022-09-22,nan,No,Evening,GYM-60920,Showers are cold
Expired,36,49.99,8,8,0.9,89,363,2,0,0,femal,Uptown,Direct Debit,2022-09-23,nan,No,Night,GYM-90925,Prefers morning yoga
Cancelled,42,49.99,3,3,0.2,103,349,0,1,0,m,Downtown,Cash,2022-09-25,nan,Yes,Night,GYM-36997,Requested new barbell sets
Renewed,34,49.99,4,3,3.7,193,73,2,0,0,F,Uptown,Cash,26/09/22,nan,Yes,Night,GYM-39488,Prefers morning yoga
Cancelled,49,59.99,4,1,4.0,73,364,0,2,0,Female,Downtown,Credit Card,2022-09-28,nan,Y,Evening,GYM-32975,Prefers morning yoga
Cancelled,28,59.99,7,2,2.8,268,114,0,2,0,m,Northside,Credit Card,2022-09-29,nan,No,Evening,GYM-47310,Showers are cold
Cancelled,53,49.99,4,3,0.6,14,189,0,1,0,Male,Downtown,Direct Debit,2022-10-01,nan,Yes,Afternoon,GYM-82111,Requested new barbell sets
Renewed,34,49.99,2,10,1.5,282,124,0,0,0,Male,Northside,Direct Debit,02/10/22,WINTER20,No,Afternoon,GYM-74254,Prefers morning yoga
Renewed,20,49.99,2,9,0.4,197,5,1,0,0,F,Downtown,Direct Debit,2022-10-04,nan,No,Evening,GYM-35809,Showers are cold
Renewed,36,49.99,3,8,0.7,194,378,0,0,0,Male,Northside,Direct Debit,2022-10-05,nan,No,Evening,GYM-53995,Requested new barbell sets
Cancelled,28,79.99,4,0,1.5,35,41,0,2,0,F,Downtown,Direct Debit,2022-10-07,nan,Y,Morning,GYM-78132,Requested new barbell sets
Expired,43,49.99,5,7,2.7,204,57,1,0,0,Female,Uptown,Direct Debit,08/10/22,nan,Y,Evening,GYM-82757,Showers are cold
Cancelled,28,49.99,6,3,0.2,138,9,2,1,0,femal,Downtown,Cash,2022-10-10,WINTER20,Y,Evening,GYM-67812,Showers are cold
Renewed,30,49.99,6,10,0.7,263,88,0,1,0,Female,Northside,Credit Card,2022-10-11,nan,Yes,Night,GYM-69760,Showers are cold
Renewed,16,79.99,6,12,5.2,56,333,0,0,0,F,Northside,Credit Card,2022-10-12,nan,No,Morning,GYM-27507,Showers are cold
Cancelled,30,59.99,2,3,1.1,109,110,2,3,0,Female,Downtown,Cash,14/10/22,nan,Yes,Night,GYM-44388,Showers are cold
Cancelled,10,49.99,2,4,5.6,173,38,2,4,0,Male,Uptown,Direct Debit,2022-10-15,nan,Yes,Night,GYM-70375,Showers are cold
Cancelled,19,59.99,5,1,9.5,205,396,2,2,0,Female,Downtown,Direct Debit,2022-10-17,nan,No,Morning,GYM-72164,Prefers morning yoga
Cancelled,42,59.99,4,4,1.5,224,166,1,2,0,Male,Downtown,Direct Debit,2022-10-18,SUMMER50,No,Morning,GYM-95894,Showers are cold
Cancelled,42,79.99,3,0,0.7,63,10,0,0,0,femal,Northside,Credit Card,20/10/22,nan,Y,Morning,GYM-67095,Showers are cold
Renewed,39,49.99,3,8,3.1,251,109,1,0,0,femal,Uptown,Credit Card,2022-10-21,SUMMER50,Yes,Afternoon,GYM-62181,Requested new barbell sets
Renewed,25,79.99,5,6,0.3,266,15,0,0,0,Male,Uptown,Direct Debit,2022-10-23,SUMMER50,No,Morning,GYM-90469,Requested new barbell sets
Cancelled,34,79.99,1,3,0.6,92,32,0,3,0,M,Uptown,Direct Debit,2022-10-24,WINTER20,Yes,Night,GYM-56654,Requested new barbell sets
Cancelled,34,79.99,3,3,3.1,182,232,0,3,0,Female,Uptown,Cash,26/10/22,nan,Yes,Morning,GYM-86189,Showers are cold
Renewed,23,59.99,7,7,1.1,299,187,0,0,0,Female,Downtown,Direct Debit,2022-10-27,nan,No,Afternoon,GYM-25300,Showers are cold
Renewed,50,,5,6,0.5,213,223,1,0,0,F,Uptown,Cash,2022-10-29,nan,Yes,Night,GYM-39232,Prefers morning yoga
Cancelled,43,49.99,6,3,2.1,141,58,0,1,0,F,Uptown,Direct Debit,2022-10-30,nan,No,Morning,GYM-19848,Prefers morning yoga
Renewed,32,59.99,5,13,2.6,82,50,1,0,0,m,Uptown,Direct Debit,31/10/22,nan,Y,Morning,GYM-78646,Prefers morning yoga
Renewed,35,,4,5,0.3,98,270,1,1,0,Male,Northside,Direct Debit,2022-11-02,WINTER20,No,Night,GYM-95349,Prefers morning yoga
Renewed,37,59.99,4,2,0.6,280,42,0,0,0,femal,Northside,Cash,2022-11-03,nan,Yes,Night,GYM-72217,Showers are cold
Cancelled,14,49.99,4,3,0.5,101,26,0,0,0,femal,Northside,Cash,2022-11-05,nan,Yes,Morning,GYM-17176,Requested new barbell sets
Cancelled,32,59.99,5,2,1.0,70,55,2,3,0,M,Uptown,Cash,06/11/22,nan,No,Afternoon,GYM-83915,Showers are cold
Renewed,28,79.99,3,9,2.9,265,120,0,0,0,Male,Downtown,Credit Card,2022-11-08,nan,No,Night,GYM-55663,Showers are cold
Cancelled,24,49.99,5,1,2.5,129,112,0,2,0,Female,Downtown,Credit Card,2022-11-09,nan,No,Evening,GYM-16788,Showers are cold
Renewed,32,79.99,5,9,2.2,59,315,0,1,0,m,Northside,Direct Debit,2022-11-11,nan,Yes,Morning,GYM-72114,Showers are cold
Renewed,52,59.99,0,5,0.0,118,114,2,0,0,Male,Northside,Cash,12/11/22,nan,No,Night,GYM-16282,Requested new barbell sets
Cancelled,41,79.99,5,4,0.3,262,108,0,1,0,m,Uptown,Cash,2022-11-14,nan,Yes,Night,GYM-15375,Requested new barbell sets
Cancelled,29,,2,3,0.5,20,174,1,2,0,Male,Northside,Direct Debit,2022-11-15,nan,No,Morning,GYM-42403,Prefers morning yoga
Cancelled,40,49.99,6,4,0.6,96,111,0,0,0,Female,Northside,Direct Debit,2022-11-17,nan,No,Morning,GYM-28610,Showers are cold
Cancelled,48,79.99,4,4,0.3,0,99,1,0,0,Female,Northside,Direct Debit,18/11/22,nan,Yes,Morning,GYM-11340,Prefers morning yoga
Cancelled,44,49.99,3,4,1.1,202,7,2,5,0,Male,Northside,Direct Debit,2022-11-19,nan,No,Afternoon,GYM-51638,Requested new barbell sets
Renewed,35,79.99,5,6,0.2,127,134,1,1,0,femal,Downtown,Cash,2022-11-21,nan,No,Evening,GYM-83519,Requested new barbell sets
Renewed,28,49.99,7,13,2.8,131,250,0,3,0,femal,Uptown,Credit Card,2022-11-22,nan,No,Night,GYM-58411,Prefers morning yoga
Renewed,41,59.99,4,8,3.1,33,336,1,0,0,M,Downtown,Cash,24/11/22,nan,No,Morning,GYM-42088,Requested new barbell sets
Renewed,38,49.99,2,6,1.7,86,239,0,0,0,Female,Northside,Credit Card,2022-11-25,nan,Y,Morning,GYM-37360,Requested new barbell sets
Expired,43,59.99,5,7,0.2,31,221,2,0,0,F,Uptown,Direct Debit,2022-11-27,nan,No,Afternoon,GYM-84063,Showers are cold
Renewed,41,49.99,3,5,4.4,258,385,3,0,0,M,Uptown,Credit Card,2022-11-28,nan,Yes,Evening,GYM-72294,Showers are cold
Cancelled,45,49.99,0,0,6.7,32,144,1,1,0,Male,Downtown,Cash,30/11/22,nan,Yes,Night,GYM-56661,Requested new barbell sets
Cancelled,29,49.99,3,1,0.5,285,376,2,4,0,M,Downtown,Cash,2022-12-01,nan,Yes,Evening,GYM-84090,Requested new barbell sets
Cancelled,48,49.99,9,2,2.4,48,3,0,2,0,F,Northside,Cash,2022-12-03,SUMMER50,Yes,Evening,GYM-81869,Prefers morning yoga
Renewed,36,79.99,4,5,3.7,285,281,2,0,0,Female,Downtown,Cash,2022-12-04,WINTER20,Y,Morning,GYM-28405,Prefers morning yoga
Cancelled,55,79.99,5,1,1.6,81,333,1,1,0,Female,Northside,Cash,06/12/22,nan,No,Morning,GYM-56185,Requested new barbell sets
Renewed,28,49.99,4,6,0.8,143,327,0,0,0,femal,Northside,Cash,2022-12-07,nan,No,Morning,GYM-78105,Showers are cold
Renewed,52,59.99,2,10,1.3,279,196,0,1,0,Female,Northside,Direct Debit,2022-12-08,nan,Yes,Afternoon,GYM-99301,Showers are cold
Cancelled,36,49.99,3,2,1.4,91,388,1,3,0,femal,Uptown,Credit Card,2022-12-10,nan,No,Afternoon,GYM-57620,Prefers morning yoga
Renewed,28,59.99,4,7,1.0,223,127,0,0,0,F,Uptown,Direct Debit,11/12/22,nan,Y,Afternoon,GYM-21578,Showers are cold
Renewed,30,79.99,5,11,5.3,216,260,0,0,0,M,Downtown,Credit Card,2022-12-13,WINTER20,Yes,Morning,GYM-68248,Showers are cold
Cancelled,31,79.99,4,1,2.7,155,90,1,2,0,Male,Downtown,Credit Card,2022-12-14,nan,No,Morning,GYM-58880,Prefers morning yoga
Renewed,39,49.99,5,7,0.6,276,324,2,0,0,Male,Uptown,Credit Card,2022-12-16,nan,Y,Morning,GYM-40202,Prefers morning yoga
Expired,40,59.99,4,10,1.8,7,258,1,1,0,M,Downtown,Cash,17/12/22,nan,Y,Evening,GYM-89963,Showers are cold
Expired,29,49.99,4,8,2.3,35,93,1,1,0,Female,Northside,Cash,2022-12-19,SUMMER50,No,Afternoon,GYM-34381,Prefers morning yoga
Expired,34,,5,3,0.3,123,256,1,0,0,femal,Northside,Cash,2022-12-20,nan,No,Afternoon,GYM-73320,Requested new barbell sets
Renewed,56,49.99,5,7,0.9,8,135,0,0,0,Male,Uptown,Credit Card,2022-12-22,nan,No,Evening,GYM-47226,Prefers morning yoga
Renewed,52,59.99,3,6,4.7,39,12,1,0,0,Female,Downtown,Credit Card,23/12/22,nan,Yes,Night,GYM-94005,Requested new barbell sets
Expired,39,59.99,3,8,1.7,178,197,1,0,0,m,Downtown,Credit Card,2022-12-25,nan,No,Evening,GYM-29095,Requested new barbell sets
Renewed,35,59.99,2,9,0.5,128,177,1,0,0,m,Uptown,Direct Debit,2022-12-26,nan,Y,Evening,GYM-49615,Requested new barbell sets
Expired,36,49.99,1,10,0.3,67,111,0,0,0,Male,Northside,Cash,2022-12-27,nan,No,Morning,GYM-62856,Prefers morning yoga
Expired,41,79.99,6,12,1.5,153,263,2,0,0,M,Northside,Cash,29/12/22,nan,Yes,Night,GYM-41210,Prefers morning yoga
Cancelled,24,49.99,3,0,1.6,2,368,1,1,0,M,Downtown,Cash,2022-12-30,WINTER20,No,Evening,GYM-15802,Prefers morning yoga
Renewed,32,59.99,3,7,0.8,264,78,0,0,0,M,Uptown,Direct Debit,2023-01-01,nan,No,Night,GYM-21841,Requested new barbell sets
Renewed,18,49.99,3,7,2.0,3,377,1,0,0,Female,Uptown,Direct Debit,2023-01-02,nan,Yes,Night,GYM-90705,Prefers morning yoga
Cancelled,38,49.99,5,1,0.1,261,255,0,3,0,m,Northside,Direct Debit,04/01/23,WINTER20,No,Morning,GYM-74660,Showers are cold
Renewed,41,59.99,4,8,0.3,281,73,2,0,0,Female,Northside,Credit Card,2023-01-05,nan,No,Night,GYM-28921,Showers are cold
Renewed,30,49.99,6,13,1.6,84,382,1,0,0,F,Downtown,Direct Debit,2023-01-07,WINTER20,No,Morning,GYM-57505,Prefers morning yoga
Cancelled,50,49.99,3,1,0.1,34,160,1,1,0,F,Uptown,Credit Card,2023-01-08,SUMMER50,Yes,Afternoon,GYM-16745,Requested new barbell sets
Expired,22,49.99,1,7,4.3,113,200,1,0,0,Male,Downtown,Credit Card,10/01/23,nan,Yes,Evening,GYM-41443,Prefers morning yoga
Cancelled,20,49.99,3,4,0.3,58,368,2,1,0,F,Downtown,Cash,2023-01-11,nan,No,Morning,GYM-25016,Showers are cold
Cancelled,37,59.99,7,1,2.2,37,307,1,2,0,M,Uptown,Cash,2023-01-13,nan,No,Morning,GYM-88755,Requested new barbell sets
Renewed,45,79.99,5,11,1.0,32,376,0,1,0,Male,Uptown,Direct Debit,2023-01-14,nan,Yes,Evening,GYM-39012,Prefers morning yoga
Cancelled,51,49.99,4,4,1.0,202,32,1,1,0,m,Northside,Credit Card,15/01/23,WINTER20,Yes,Morning,GYM-97617,Prefers morning yoga
Expired,30,49.99,6,6,2.9,201,72,1,0,0,femal,Uptown,Credit Card,2023-01-17,WINTER20,Yes,Night,GYM-75837,Requested new barbell sets
Renewed,45,49.99,6,8,1.4,99,351,2,0,0,m,Downtown,Credit Card,2023-01-18,nan,No,Morning,GYM-28549,Requested new barbell sets
Renewed,34,49.99,2,4,2.6,117,292,1,0,0,F,Downtown,Cash,2023-01-20,nan,Y,Morning,GYM-87974,Showers are cold
Cancelled,33,59.99,3,2,1.4,242,197,0,4,0,F,Uptown,Cash,21/01/23,nan,No,Night,GYM-80822,Prefers morning yoga
Cancelled,43,59.99,6,1,1.8,28,324,1,1,0,m,Downtown,Cash,2023-01-23,nan,No,Evening,GYM-45422,Showers are cold
Cancelled,41,49.99,4,3,2.9,226,387,0,2,0,F,Uptown,Cash,2023-01-24,nan,No,Morning,GYM-31251,Showers are cold
Cancelled,19,49.99,1,4,1.9,212,315,1,3,0,F,Northside,Cash,2023-01-26,nan,No,Afternoon,GYM-40466,Requested new barbell sets
Renewed,49,49.99,2,14,1.9,186,239,0,0,0,Female,Northside,Cash,27/01/23,nan,Yes,Evening,GYM-47860,Prefers morning yoga
Renewed,48,,5,5,3.1,112,73,1,0,0,femal,Uptown,Direct Debit,2023-01-29,nan,No,Afternoon,GYM-16580,Showers are cold
Cancelled,28,79.99,3,0,6.0,298,30,1,0,0,femal,Downtown,Direct Debit,2023-01-30,nan,No,Afternoon,GYM-92551,Showers are cold
Cancelled,999,49.99,5,1,0.9,160,13,1,0,0,m,Uptown,Direct Debit,2023-02-01,nan,No,Afternoon,GYM-58201,Requested new barbell sets
Cancelled,39,49.99,4,4,1.7,18,204,1,0,0,m,Uptown,Direct Debit,02/02/23,nan,No,Morning,GYM-67705,Prefers morning yoga
Expired,37,79.99,5,6,0.2,263,315,1,0,0,F,Northside,Credit Card,2023-02-03,nan,Yes,Night,GYM-87919,Prefers morning yoga
Renewed,29,79.99,5,8,0.9,158,67,3,0,0,M,Uptown,Cash,2023-02-05,nan,Yes,Morning,GYM-25536,Showers are cold
Renewed,28,49.99,3,8,1.1,10,127,2,0,0,Female,Northside,Cash,2023-02-06,nan,No,Afternoon,GYM-90692,Requested new barbell sets
Cancelled,34,49.99,6,5,3.6,7,25,0,0,0,M,Northside,Direct Debit,08/02/23,nan,Yes,Afternoon,GYM-79936,Prefers morning yoga
Cancelled,46,49.99,6,2,1.4,152,183,1,3,0,F,Uptown,Credit Card,2023-02-09,nan,Yes,Night,GYM-61922,Prefers morning yoga
Cancelled,40,59.99,4,1,2.6,112,136,0,0,0,m,Uptown,Direct Debit,2023-02-11,SUMMER50,Y,Evening,GYM-35344,Showers are cold
Cancelled,31,49.99,2,3,0.0,147,290,1,1,0,M,Uptown,Cash,2023-02-12,nan,No,Afternoon,GYM-42573,Prefers morning yoga
Cancelled,42,49.99,3,4,1.2,37,105,1,0,0,femal,Uptown,Direct Debit,14/02/23,nan,Yes,Morning,GYM-34780,Prefers morning yoga
Renewed,6,59.99,5,4,4.6,134,23,1,0,0,Male,Northside,Credit Card,2023-02-15,WINTER20,Yes,Afternoon,GYM-68210,Prefers morning yoga
Renewed,46,49.99,5,7,0.5,234,338,1,1,0,M,Uptown,Cash,2023-02-17,nan,Yes,Afternoon,GYM-64262,Prefers morning yoga
Renewed,17,59.99,3,10,0.1,254,193,2,0,0,m,Northside,Credit Card,2023-02-18,nan,No,Evening,GYM-69969,Showers are cold
Cancelled,31,49.99,3,4,1.1,73,168,1,0,0,femal,Northside,Direct Debit,20/02/23,nan,No,Night,GYM-10661,Prefers morning yoga
Renewed,23,49.99,3,10,2.4,275,35,0,0,0,F,Downtown,Cash,2023-02-21,nan,Yes,Afternoon,GYM-76214,Prefers morning yoga
Renewed,22,59.99,2,7,1.2,208,100,0,0,0,M,Northside,Credit Card,2023-02-22,nan,No,Evening,GYM-81899,Requested new barbell sets
Renewed,46,49.99,4,11,1.2,266,33,0,0,0,F,Downtown,Credit Card,2023-02-24,nan,Yes,Evening,GYM-43067,Showers are cold
Renewed,30,79.99,1,9,2.2,143,376,3,0,0,Female,Uptown,Credit Card,25/02/23,nan,Yes,Afternoon,GYM-92177,Prefers morning yoga
Cancelled,38,59.99,6,3,0.6,41,38,3,2,0,Male,Downtown,Cash,2023-02-27,nan,Y,Afternoon,GYM-94682,Requested new barbell sets
Renewed,34,49.99,5,9,2.8,223,210,0,0,0,m,Uptown,Cash,2023-02-28,nan,Yes,Night,GYM-67146,Showers are cold
Renewed,39,59.99,4,6,0.3,51,229,1,0,0,m,Northside,Direct Debit,2023-03-02,nan,No,Morning,GYM-62452,Prefers morning yoga
Cancelled,35,49.99,2,2,1.0,136,278,1,2,0,F,Downtown,Direct Debit,03/03/23,nan,No,Morning,GYM-54505,Requested new barbell sets
Renewed,22,79.99,4,6,2.1,194,79,2,0,0,Male,Uptown,Cash,2023-03-05,WINTER20,Yes,Night,GYM-33707,Showers are cold
Renewed,44,49.99,5,8,3.5,94,237,0,1,0,femal,Uptown,Credit Card,2023-03-06,WINTER20,No,Evening,GYM-15647,Prefers morning yoga
Renewed,30,59.99,5,10,3.1,257,171,1,0,0,m,Downtown,Cash,2023-03-08,nan,No,Evening,GYM-24064,Requested new barbell sets
Cancelled,19,,5,0,2.6,24,325,0,1,0,M,Downtown,Cash,09/03/23,nan,Y,Night,GYM-67083,Showers are cold
Renewed,30,,6,7,0.9,231,58,0,0,0,m,Uptown,Cash,2023-03-11,nan,No,Morning,GYM-55411,Requested new barbell sets
Cancelled,50,79.99,6,1,0.3,93,21,0,1,0,M,Uptown,Cash,2023-03-12,nan,No,Evening,GYM-65835,Requested new barbell sets
Renewed,43,79.99,4,9,0.5,220,364,2,0,0,m,Northside,Direct Debit,2023-03-13,nan,Yes,Morning,GYM-41195,Prefers morning yoga
Renewed,31,49.99,4,10,4.0,296,366,2,0,0,M,Uptown,Direct Debit,15/03/23,WINTER20,No,Evening,GYM-38979,Requested new barbell sets
Renewed,31,49.99,5,7,3.9,202,343,1,0,0,Female,Downtown,Credit Card,2023-03-16,nan,Yes,Morning,GYM-49539,Prefers morning yoga
Renewed,31,79.99,6,9,6.1,80,237,1,0,0,F,Uptown,Cash,2023-03-18,nan,Yes,Night,GYM-67752,Prefers morning yoga
Cancelled,55,79.99,4,2,0.2,204,295,0,2,0,femal,Uptown,Cash,2023-03-19,nan,Y,Morning,GYM-33992,Requested new barbell sets
Cancelled,38,49.99,6,4,1.5,76,340,0,3,0,femal,Downtown,Direct Debit,21/03/23,nan,Yes,Evening,GYM-43288,Requested new barbell sets
Expired,39,49.99,2,10,2.1,37,93,0,0,0,Female,Northside,Direct Debit,2023-03-22,nan,Yes,Evening,GYM-15642,Requested new barbell sets
Renewed,45,49.99,3,6,2.5,194,243,1,0,0,femal,Uptown,Cash,2023-03-24,nan,No,Evening,GYM-69876,Requested new barbell sets
Renewed,37,79.99,4,6,2.1,41,10,1,0,0,M,Downtown,Direct Debit,2023-03-25,nan,No,Afternoon,GYM-56698,Showers are cold
Cancelled,32,49.99,5,1,2.9,181,116,2,4,0,femal,Downtown,Cash,27/03/23,nan,Yes,Afternoon,GYM-13884,Prefers morning yoga
Renewed,33,49.99,4,10,0.9,244,264,0,0,0,F,Downtown,Credit Card,2023-03-28,nan,Yes,Evening,GYM-58385,Requested new barbell sets
Renewed,34,59.99,6,5,0.4,194,11,1,0,0,Male,Downtown,Credit Card,2023-03-30,nan,Yes,Night,GYM-45509,Showers are cold
Renewed,34,49.99,2,13,0.5,77,153,0,1,0,M,Northside,Credit Card,2023-03-31,nan,Yes,Evening,GYM-41649,Requested new barbell sets
Renewed,42,,7,13,0.0,124,37,3,0,0,femal,Downtown,Cash,01/04/23,nan,No,Night,GYM-89017,Showers are cold
Expired,35,49.99,2,11,0.9,140,130,2,0,0,m,Uptown,Direct Debit,2023-04-03,nan,No,Evening,GYM-46300,Prefers morning yoga
Cancelled,42,49.99,3,3,0.2,26,381,2,1,0,m,Northside,Credit Card,2023-04-04,nan,No,Evening,GYM-21036,Requested new barbell sets
Cancelled,34,49.99,7,4,0.8,280,224,0,0,0,Male,Downtown,Cash,2023-04-06,nan,No,Night,GYM-77694,Showers are cold
Renewed,35,59.99,2,6,2.0,292,142,1,0,0,Female,Uptown,Credit Card,07/04/23,nan,No,Morning,GYM-94571,Showers are cold
Renewed,15,49.99,3,9,4.5,241,388,1,0,0,M,Northside,Credit Card,2023-04-09,nan,No,Afternoon,GYM-84756,Prefers morning yoga
Renewed,44,59.99,2,8,3.7,235,53,2,0,0,m,Uptown,Direct Debit,2023-04-10,nan,Y,Evening,GYM-19747,Requested new barbell sets
Renewed,38,79.99,5,6,0.6,202,23,1,2,0,F,Northside,Cash,2023-04-12,nan,No,Night,GYM-56692,Requested new barbell sets
Renewed,44,59.99,1,10,0.3,141,394,2,0,0,Male,Downtown,Direct Debit,13/04/23,SUMMER50,No,Night,GYM-50230,Prefers morning yoga
Cancelled,6,49.99,4,2,0.4,93,120,0,2,0,Female,Uptown,Direct Debit,2023-04-15,WINTER20,No,Afternoon,GYM-66777,Prefers morning yoga
Cancelled,55,49.99,2,0,7.1,151,118,1,1,0,Female,Downtown,Direct Debit,2023-04-16,nan,No,Afternoon,GYM-72108,Prefers morning yoga
Renewed,33,49.99,4,10,1.6,252,160,0,0,0,F,Northside,Credit Card,2023-04-18,nan,No,Morning,GYM-49806,Showers are cold
Expired,46,49.99,4,8,0.4,66,73,1,0,0,femal,Downtown,Credit Card,19/04/23,nan,Yes,Evening,GYM-60387,Showers are cold
Cancelled,24,49.99,3,2,3.7,175,184,5,5,0,F,Downtown,Credit Card,2023-04-20,nan,No,Afternoon,GYM-92038,Prefers morning yoga
Cancelled,41,59.99,3,0,1.0,102,191,0,2,0,femal,Uptown,Cash,2023-04-22,nan,No,Morning,GYM-71824,Requested new barbell sets
Cancelled,24,49.99,3,1,4.6,90,219,1,1,0,Male,Downtown,Direct Debit,2023-04-23,nan,No,Evening,GYM-15518,Showers are cold
Renewed,28,49.99,4,5,0.6,192,120,1,0,0,F,Downtown,Credit Card,25/04/23,nan,No,Evening,GYM-60350,Prefers morning yoga
Renewed,54,49.99,4,9,1.0,165,208,0,0,0,m,Downtown,Direct Debit,2023-04-26,nan,No,Night,GYM-16277,Showers are cold
Renewed,33,59.99,3,5,1.4,89,383,0,0,0,Female,Northside,Direct Debit,2023-04-28,nan,Yes,Afternoon,GYM-85877,Showers are cold
Cancelled,37,49.99,5,2,4.5,267,299,0,5,0,femal,Uptown,Direct Debit,2023-04-29,nan,Y,Morning,GYM-57558,Prefers morning yoga
Renewed,43,59.99,3,4,4.1,50,345,0,1,0,F,Uptown,Direct Debit,01/05/23,nan,Yes,Morning,GYM-33613,Requested new barbell sets
Renewed,39,49.99,5,7,1.7,165,163,2,0,0,M,Downtown,Direct Debit,2023-05-02,nan,No,Night,GYM-10959,Requested new barbell sets
Renewed,36,,1,5,0.5,173,267,2,0,0,F,Uptown,Credit Card,2023-05-04,nan,Yes,Morning,GYM-62100,Showers are cold
Renewed,38,79.99,6,16,1.0,226,2,0,0,0,femal,Northside,Cash,2023-05-05,WINTER20,Yes,Morning,GYM-59717,Requested new barbell sets
Cancelled,59,49.99,6,1,7.4,265,49,0,2,0,Female,Northside,Cash,07/05/23,nan,Yes,Evening,GYM-15936,Requested new barbell sets
Cancelled,34,49.99,2,0,1.9,8,363,1,3,0,m,Downtown,Cash,2023-05-08,WINTER20,No,Afternoon,GYM-38678,Prefers morning yoga
Renewed,37,49.99,6,9,3.0,86,210,1,0,0,F,Downtown,Cash,2023-05-09,nan,Yes,Night,GYM-88691,Prefers morning yoga
Renewed,45,49.99,6,11,1.2,93,15,2,1,0,m,Northside,Direct Debit,2023-05-11,nan,Yes,Afternoon,GYM-33042,Prefers morning yoga
Renewed,46,59.99,4,8,1.5,51,167,0,0,0,M,Northside,Credit Card,12/05/23,nan,Yes,Morning,GYM-94299,Requested new barbell sets
Renewed,46,79.99,2,6,1.1,178,282,0,0,0,femal,Northside,Credit Card,2023-05-14,nan,Yes,Morning,GYM-21642,Requested new barbell sets
Renewed,41,59.99,3,11,2.4,277,378,2,0,0,Female,Downtown,Direct Debit,2023-05-15,nan,Yes,Morning,GYM-29923,Prefers morning yoga
Renewed,23,79.99,5,7,3.8,238,325,3,0,0,Male,Northside,Direct Debit,2023-05-17,nan,Yes,Afternoon,GYM-91832,Requested new barbell sets
Renewed,51,49.99,3,10,1.4,72,297,1,0,0,Female,Downtown,Credit Card,18/05/23,WINTER20,No,Night,GYM-61860,Prefers morning yoga
Cancelled,23,,1,3,1.3,71,184,3,4,0,femal,Northside,Credit Card,2023-05-20,nan,No,Night,GYM-94255,Showers are cold
Cancelled,38,59.99,3,4,0.8,67,137,0,0,0,Male,Northside,Cash,2023-05-21,nan,No,Evening,GYM-19227,Showers are cold
Renewed,27,49.99,4,7,0.4,4,124,1,1,0,Male,Uptown,Cash,2023-05-23,nan,Y,Night,GYM-78580,Requested new barbell sets
Renewed,34,59.99,4,3,5.6,237,391,1,0,0,Female,Northside,Cash,24/05/23,nan,No,Evening,GYM-85186,Requested new barbell sets
Cancelled,38,49.99,5,4,0.8,120,57,1,0,0,femal,Downtown,Credit Card,2023-05-26,SUMMER50,Y,Morning,GYM-20412,Requested new barbell sets
Renewed,38,49.99,4,7,3.2,210,361,0,0,0,Male,Northside,Cash,2023-05-27,SUMMER50,Yes,Night,GYM-41040,Requested new barbell sets
Cancelled,-5,79.99,1,1,2.5,261,65,0,4,0,femal,Uptown,Credit Card,2023-05-28,SUMMER50,No,Evening,GYM-95947,Showers are cold
Cancelled,51,49.99,4,2,3.1,57,339,4,3,0,m,Northside,Credit Card,30/05/23,nan,Yes,Evening,GYM-58842,Prefers morning yoga
Renewed,39,79.99,2,5,5.5,42,201,0,1,0,M,Northside,Direct Debit,2023-05-31,nan,No,Afternoon,GYM-29500,Showers are cold
Renewed,32,79.99,4,7,2.0,196,8,1,0,0,F,Northside,Credit Card,2023-06-02,nan,No,Morning,GYM-48433,Prefers morning yoga
Cancelled,44,59.99,2,3,4.6,71,104,1,1,0,femal,Downtown,Direct Debit,2023-06-03,nan,Yes,Night,GYM-90082,Requested new barbell sets
Renewed,46,59.99,3,6,0.4,90,88,0,0,0,femal,Northside,Direct Debit,05/06/23,WINTER20,No,Night,GYM-23024,Prefers morning yoga
Cancelled,22,59.99,2,3,2.0,36,88,1,4,0,Male,Northside,Credit Card,2023-06-06,nan,No,Night,GYM-39088,Prefers morning yoga
Expired,40,79.99,4,6,3.0,236,343,0,0,0,femal,Northside,Credit Card,2023-06-08,nan,Yes,Evening,GYM-32828,Prefers morning yoga
Cancelled,42,49.99,3,2,0.6,292,5,1,1,0,femal,Uptown,Cash,2023-06-09,nan,No,Night,GYM-99313,Prefers morning yoga
Renewed,32,49.99,6,11,2.7,153,157,0,0,0,Male,Downtown,Credit Card,11/06/23,nan,No,Night,GYM-46967,Showers are cold
Cancelled,48,59.99,3,1,3.0,169,378,2,1,0,Female,Downtown,Cash,2023-06-12,nan,Yes,Night,GYM-83948,Requested new barbell sets
Renewed,33,49.99,6,4,3.6,271,329,2,0,0,femal,Uptown,Cash,2023-06-14,nan,Yes,Morning,GYM-59485,Requested new barbell sets
Renewed,36,49.99,2,11,0.8,109,102,0,0,0,m,Downtown,Credit Card,2023-06-15,nan,No,Morning,GYM-52440,Prefers morning yoga
